Project,Model,Apartment Number,Rooms,Floor,Parking,Storage,Area (sqm),Balcony (sqm),Direction,Design,Price (NIS)
Teador,A,3,2.5,2,True,True,67.5,11.8,East,"Designed by the company's interior designer, furnished and equipped with electrical appliances.",4490000
Teador,B,4,3.0,2,True,True,73.7,4.2,South/East,"Designed by the company's interior designer, furnished and equipped with electrical appliances.",4730000
Teador,H,8,2.5,3+4,True,True,,,,"Designed by the company's interior designer, furnished and equipped with electrical appliances.",4990000
Teador,I,54,4.0,11+12,True,True,135.8,47.8,East/South/West,"Designed by the company's interior designer, furnished and equipped with electrical appliances.",11990000
Julie,B12,12,2.0,1,True,False,49.4,6.93,South - Salma,,3490000
Julie,B20,42,2.0,2,True,False,50.6,5.94,West - Patio,,3650000
Julie,B5,27,2.0,2,True,False,54.3,7.4,West - Herzl,,3840000
Julie,B16,82,2.0,4,True,False,52.2,8.95,East - Nahalat Binyamin,,4000000
One Hundred,B,2,2.0,1,Underground regular,False,50.7,13.1,West/North,,4990000
One Hundred,G,4,2.0,1,Underground regular,False,61.0,6.5,East,,5650000
One Hundred,H,5,2.0,1,Underground regular,False,52.6,4.7,East/North,,4850000
One Hundred,I,21,2.0,4,Underground regular,False,43.9,,North,,4290000
One Hundred,D,27,3.0,,False,False,64.0,57.0,,,9500000
One Hundred,E,28,2.0,,False,False,48.0,40.5,,,6750000
One Hundred,F,29,2.0,,False,False,60.0,25.0,,,7300000
One Hundred,A,1,3.0,,False,False,83.0,17.0,,,9500000
