,One Hundred,Teador,Julie
Project Name,"One Hundred","Teador","Julie"
Location,"100 Alenbi Street, Tel Aviv","136-138 Herzl Street, Tel Aviv","91 Herzl Street, Tel Aviv"
Developer,"יובלים וסיטי בוי","Leny and Yuvalim Group","יובלים, סיטי בוי, ולני גרופ"
Type,"Residential and Commercial","Residential","Residential"
Floors,"6","13 (Building A), 12 (Building B)","9"
Number of Apartments,"29","160","152"
Apartment Types,"2-room apartments with balcony, 3 penthouses, garden apartment with private yard","2 and 3 rooms apartments, duplexes, penthouses","2-3 room apartments, duplexes, penthouses"
Penthouses,"3","Yes","Yes"
Garden Apartment,"Yes","No","No"
Architect,"Gidi Bar-Orian","Ilan Pivko","Yashar"
Architect Info,"Leading architect in urban renewal, combining new construction with existing fabric","Icon of contemporary global architecture, working on myriad projects since 1981","Established in 1956, innovative and inspiring designs"
Construction Start Date,"2023","N/A","N/A"
Sales Start Date,"N/A","Immediate occupancy","N/A"
Completion Date,"2027","N/A","30/12/2026"
Parking,"Yes","Yes, private and innovative","Yes, 5 underground levels"
Specification,"Customizable","High-quality materials, advanced techniques","VRF air conditioning, smart electricity system, luxury windows with electric blinds"
Payment Terms,"7% on contract signing, 1,800,000 ILS contractor loan until 9/27 interest-free, remaining balance by 9/27 except 5%, 5% on delivery 12/27","7% on contract signing, 1,800,000 ILS contractor loan until 9/26 interest-free, remaining balance by 9/26 except 5%, 5% on delivery 12/26","7% on contract signing, 1,800,000 ILS contractor loan until 9/26 interest-free, remaining balance by 9/26 except 5%, 5% on delivery 12/26"
Description,"Boutique 6-story building with 29 elegant apartments, commercial floor, new office building","New residential project on Herzl, inspired by Theodor Herzl's vision","Unique residential complex offering high-end living in the heart of Tel Aviv"
Theme,"Reflects unique charm of Tel Aviv's main streets","Blend of location, design, and style inspired by European living","Blend of urban Tel Aviv energy and classic European elegance"
Renovation,"Allenby is transforming into an urban pedestrian street with cafes, bars, shops","Herzl is becoming the IT location in Tel Aviv, transforming into a vibrant urban space","Combines urban energy with classic European quality"
Attractions,"Rothschild Boulevard, light rail stations under construction (date of completion unknown), cultural, culinary, and lifestyle spots","Close to Rothschild Avenue, numerous cafes, bars, restaurants, boutiques","Close to Levinsky Market, Rothschild Boulevard, Nahalat Binyamin, Neve Tzedek"
Ceilings,"2.90-4.00 meters","N/A","High ceilings"
Balconies,"Large balconies with urban views","N/A","Balconies with unique design"
Kitchens,"Premium kitchens by DADA Molteni, Italian design","Imported kitchens by Schüller","Imported kitchens by Schüller"
Facilities,"Gym, laundry room, lounge, commercial ground floor","Designed common areas, gym, modern amenities","Luxury lobby, rooftop terrace, co-working spaces, gym, laundry room"
Living Experience,"High-standard urban living in the heart of Tel Aviv","Modern European-style living in Tel Aviv","Luxurious urban living in the heart of Tel Aviv"
Access,"Easy access to transport routes, near light rail stations, bike paths","Close to major transport routes, bike paths, and light rail stations","Close to major transport routes, bike paths, and light rail stations"
Lifestyle,"Top living standards, surrounded by Tel Aviv's opportunities","Vibrant city life, trendy and up-to-date lifestyle","Premium urban lifestyle, vibrant and full of life"
Bank Guarantee,"בנק הבינלאומי","בנק לאומי","בנק לאומי"
Features,"Urban lifestyle, high-end design, close to Rothschild Boulevard","Modern design, luxury features, strategic location","Modern design, luxury features, strategic location"
Area,"Near cafes, bars, restaurants, galleries, designer shops","Surrounded by cafes, bars, restaurants, and shops","Surrounded by cafes, bars, restaurants, and shops"
Highlights,"Urban renewal, exclusive residential project, cultural and design renaissance","High-end living, exclusive design, premium amenities","High-end living, exclusive design, premium amenities"
Developer Info,"Established in 2000, experienced in urban renewal and high-end residential projects","Specializes in project management, development, construction, and finance","Experienced in high-end residential projects, urban renewal, and commercial spaces"
Transport,"Close to major transport routes and light rail stations","Close to major transport routes, bike paths, and light rail stations","Close to major transport routes, bike paths, and light rail stations"
Recreation,"Bike paths connecting to Rothschild Boulevard","Bike paths connecting to major city areas","Bike paths connecting to major city areas"
Amenities,"Gym, laundry room, lounge, designed common areas","Luxury lobby, rooftop terrace, co-working spaces, gym, laundry room","Luxury lobby, rooftop terrace, co-working spaces, gym, laundry room"
Vision,"Combines classic and modern, quiet yet vibrant living in Tel Aviv","Combines historical memento with modern living","Offers the best of urban Tel Aviv and classic European elegance"
Units,"Spacious boutique apartments, garden apartment, 3 penthouses","2 and 3 rooms apartments, duplexes, penthouses","2-3 room apartments, duplexes, penthouses"
Style,"Urban Tel Aviv architecture, high-quality finish","European architectural concept by Ilan Pivko","European-style architecture with modern amenities"
Selling Points,"Prime location, exclusive design, premium amenities","Prime location on Herzl, vibrant urban life, modern amenities","Prime location, high-end design, premium amenities"
Contact Details,"המאבק 9, רמת השרון, 03-5490020","Sales Office: Herzel 91, Tel Aviv, sales1@teodor.co.il","Sales Office: Herzel 91, Tel Aviv, sales1@julie.co.il"
Sales Start Date,"N/A","Immediate occupancy","N/A"
Construction Company,"N/A","עץ השקד","Electra Construction"
Target Audience,"Urban professionals, families","Young professionals, families, investors","Trendsetters, urban enthusiasts, luxury seekers"
Unique Selling Proposition,"Exclusive living in a boutique building with high-end amenities","European-inspired modern living in a historic location","Blend of urban Tel Aviv energy and classic European elegance"
Energy Efficiency,"Standard","High, with advanced VRF air conditioning","High, with smart electricity system and double-glazed windows"
Nearby Schools,"Tel Aviv School District","Tel Aviv School District","Tel Aviv School District"
Commercial Spaces,"Yes, on the ground floor","N/A","Yes, on the ground floor"
Green Spaces,"No","N/A","Yes, rooftop garden and private patios"
Cultural Significance,"Located on a historic street undergoing a renaissance","Inspired by Theodor Herzl, located near the declaration site of Israel","Located between Rothschild and Florentin, vibrant cultural hub"
Architectural Style,"Modern boutique design","Modern European","Classic European with modern urban elements"
Number of Elevators,"2","4","3"
Security Features,"Standard","High, with 24/7 security","Advanced, with smart security systems"
Pet Policy,"Pet-friendly","Pet-friendly","Pet-friendly"
Rooftop Features,"N/A","N/A","Private rooftop terrace with seating areas and plunge pool"
Accessibility Features,"Standard","High, with accessibility in mind","High, with elevators and wide corridors"
Public Transportation Proximity,"Close to light rail stations","Close to major transport routes, bike paths, and light rail stations","Adjacent to major transport routes and light rail stations"
